ID1;c_jurisdiccion;anio;sector;ambito;dp01;dp02d;dp02u;Edad;dp03a;dp03b;dp03c;dp03d;dp03e;dp03f;dp03g;dp03h;dp03i;dp04a;dp04b;dp04c;dp05;dp06;dp07a;dp07b;dp07c;dp08a;dp08b;dp08c;dp08d;dp08e;dp08f;dp08g;dp08h;dp08i;dp08j;dp08k;dp08l;dp09a;dp09b;dp09c;dp09d;dp09e;dp09f;dp09g;dp09h;dp09i;dp09j;dp09k;dp09l;dp10a;dp10b;dp11a;dp11b;dp12a;dp12b;dp13a;dp13b;dp13c;dp13d;dp13e;dp13f;dp13g;dp13h;dp14a;dp14b;dp15;dp16a;dp16b;dp17a;dp17b;dp17c;dp17d;dp17e;dp18;dp19a;dp19b;dp19c;dp19d;dp19e;dp19f;dp19g;dp19h;dp19i;dp19j;dp20;dp21a;dp21b;dp21c;dp21d;dp22a;dp22b;dp23;dp24d;dp24u;cant24;dp25a;dp25b;dp25c;dp25d;dp25e;dp25f;dp26a;dp26b;dp26c;dp26d;dp26e;dp26f;dp27;dp28a;dp28b;dp28c;dp28d;dp28e;dp28f;dp28g;dp28h;dp28i;dp28j;dp29;dp30;dp31a;dp31b;dp32a;dp32b;dp32c;dp32d;dp32e;dp32f;dp32g;dp33;dp34;dp35;dp36;dp37a;dp37b;dp37c;dp37d;dp38a;dp38b;dp38c;dp38d;dp38e;dp38f;dp39a;dp39b;dp39c;dp40;dp41;dp42a;dp42b;dp42c;dp43a;dp43b;dp43c;dp43d;dp43e;dp43f;dp43g;dp44a;dp44b;dp44c;dp44d;dp44e;dp45a;dp45b;dp45c;dp45d;ponder;region
323850025511053;30;6;2;2;1;4;8;48;0;1;0;0;0;0;0;0;0;5;4;4;4;1;1;2;2;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;3;5;2;5;1;1;-9;-9;-9;-9;-9;-9;1;1;3;2;2;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;3;-9;-9;-9;-9;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;0;0;0;1;1;1;1;0;2;-9;2;2;3;1;1;1;1;3;4;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;4;4;4;2,9629629;CENTRO
125970015301021;30;6;1;1;2;5;1;51;1;1;0;0;0;0;0;0;0;4;2;-9;3;2;2;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;1;3;5;1;5;1;1;-9;-9;-9;-9;-9;1;2;1;3;2;2;2;2;2;2;2;5;1;2;2;2;3;2;1;1;3;3;1;2;3;3;2;3;3;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;0;1;1;0;1;1;1;1;1;0;2;-9;2;2;2;2;2;2;1;3;3;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;2;2;2;2;17,59366;CENTRO
255850028705952;82;6;2;2;2;4;2;42;0;1;0;0;0;0;0;0;0;4;2;-9;4;1;2;2;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;4;5;3;3;2;1;1;1;1;2;1;1;1;1;3;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;-9;3;3;1;1;1;1;1;2;2;1;-9;5;5;1;0;1;0;0;0;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;2;-9;2;2;1;1;1;1;1;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3,1868131;CENTRO
952320078747849;82;6;1;1;2;4;5;45;0;1;1;0;0;0;0;0;0;4;3;3;3;1;1;-9;-9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;4;1;4;1;-9;1;-9;-9;-9;1;1;1;1;3;2;2;2;2;2;2;2;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;0;1;0;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;1;1;2;3;1;2;3;1;-9;-9;-9;1;1;0;0;0;0;0;2;2;1;1;1;-9;1;-9;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;10,771664;CENTRO
629370066433776;82;6;2;2;2;4;6;46;0;1;0;0;0;0;0;0;0;5;4;1;4;1;2;2;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;3;5;3;5;1;-9;1;-9;-9;-9;-9;-9;2;1;3;2;2;2;2;2;2;2;5;1;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;0;1;1;0;0;1;0;0;0;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;2;-9;2;2;1;1;1;1;2;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;2;1;1;0;0;1;0;1;1;0;0;1;0;0;0;2;3;3;2;3,1868131;CENTRO
678000246036067;82;6;1;1;2;4;7;47;0;1;0;0;0;0;0;0;0;4;1;-9;5;1;2;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;3;4;1;4;1;1;2;2;2;1;1;1;2;2;1;3;-9;2;-9;-9;-9;-9;4;1;1;1;1;1;1;1;1;1;3;2;-9;-9;-9;-9;3;3;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;1;1;0;0;0;1;1;1;1;0;2;-9;2;2;1;2;1;1;2;1;1;1;2;3;1;2;2;2;-9;1;0;0;1;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10,771664;CENTRO
822970084477518;82;6;2;2;2;4;7;47;0;1;0;1;0;0;0;0;0;5;2;1;4;1;1;-9;-9;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;3;4;1;4;2;1;1;-9;-9;-9;-9;1;1;1;3;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;4;3;1;1;3;2;1;2;2;1;0;1;1;0;0;0;0;0;1;2;2;2;2;1;2;1;0;1;0;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;2;2;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;2;1;2;0;0;0;0;1;0;0;1;1;0;1;0;1;1;2;2;3,1868131;CENTRO
609960083665506;82;6;2;2;2;5;0;50;0;1;1;0;0;0;0;0;1;4;2;1;4;2;2;2;2;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;3;5;2;5;1;1;1;-9;-9;-9;-9;-9;1;1;3;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;2;1;3;3;1;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;1;1;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;-9;3,1868131;CENTRO
272600077091282;82;6;1;1;2;5;0;50;0;1;0;0;0;0;0;0;0;5;3;1;1;1;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;5;1;1;1;1;-9;-9;-9;-9;1;1;1;1;3;2;2;2;2;2;2;2;4;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;0;1;0;0;0;1;1;1;0;0;2;-9;2;-9;3;1;3;1;1;2;1;1;2;3;1;1;-9;-9;-9;0;0;1;1;0;0;1;2;1;1;1;-9;-9;1;0;1;0;0;0;0;0;0;0;0;0;1;2;2;2;2;10,771664;CENTRO
249600426400024;82;6;2;2;2;5;2;52;0;1;0;0;0;0;0;0;1;4;3;2;3;2;2;2;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;3;3;3;3;1;4;1;1;1;-9;-9;-9;1;1;1;1;3;2;2;2;2;2;2;2;4;4;2;3;3;2;1;1;1;3;4;1;2;2;2;1;2;2;1;0;1;1;0;0;0;1;0;0;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;1;1;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;4;-9;-9;-9;3,1868131;CENTRO
696000020160069;02;6;2;2;1;4;5;45;0;1;0;0;1;0;0;0;1;5;2;1;3;2;2;2;2;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;-9;4;4;2;4;1;1;1;-9;-9;-9;-9;1;2;1;3;3;2;3;2;2;2;2;5;1;2;3;2;3;3;2;2;2;1;1;1;3;2;2;3;3;1;0;2;2;0;0;1;0;1;0;3;3;1;1;1;2;1;0;1;0;1;1;1;1;1;1;0;2;-9;2;2;1;2;2;3;1;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;5,875;CENTRO
186200014084018;02;6;2;2;2;4;8;48;0;1;1;0;0;0;0;0;0;4;2;-9;3;2;2;2;2;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;4;5;4;5;1;2;2;2;2;2;2;1;1;1;3;2;2;2;2;2;2;2;4;1;1;1;1;2;2;2;1;2;2;1;1;2;3;3;2;2;1;0;1;1;0;0;1;0;0;0;1;1;2;2;1;2;1;0;1;1;0;1;1;1;1;0;0;2;-9;2;2;2;2;1;1;1;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;5,875;CENTRO
809600184920809;02;6;2;2;2;4;9;49;0;1;0;0;0;0;0;0;0;5;3;-9;4;1;1;-9;-9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;3;-9;4;-9;2;1;2;2;2;2;2;2;3;1;3;2;2;3;3;3;3;3;4;1;1;1;1;1;1;1;1;1;1;1;1;-9;-9;-9;2;2;1;0;2;2;0;0;1;0;0;0;1;1;1;1;1;2;1;1;1;1;0;1;0;1;1;0;0;2;-9;2;2;1;3;2;1;1;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;2;2;5,875;CENTRO
601920017652860;02;6;2;2;2;5;1;51;0;1;1;0;1;0;0;0;0;5;2;2;-6;2;2;2;2;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;2;1;4;5;3;5;1;1;2;2;2;2;2;1;2;1;3;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;1;1;1;1;2;2;2;3;2;2;1;0;1;1;0;0;1;0;0;0;2;2;1;-9;1;2;1;1;1;1;0;1;0;1;1;1;0;2;-9;2;2;2;1;3;1;1;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;5,875;CENTRO
397570016716239;02;6;2;2;2;5;2;52;0;1;0;0;0;1;0;0;0;5;3;-9;4;2;2;2;2;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;3;5;2;5;1;1;2;1;2;2;2;2;2;1;3;2;2;3;3;3;3;3;5;1;2;1;1;2;1;1;1;1;1;3;-9;-9;-9;-9;3;3;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;0;1;1;0;0;0;0;2;-9;2;2;2;3;2;2;2;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;5,875;CENTRO
971700820829717;02;6;1;2;2;5;4;54;1;1;0;1;0;0;0;0;0;5;2;-9;3;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;2;2;3;1;3;-9;1;-9;-9;-9;1;1;1;1;1;3;2;2;2;2;2;2;2;5;4;4;1;2;3;1;3;2;1;3;1;2;2;2;2;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;0;1;0;1;0;1;1;1;1;0;2;-9;2;2;1;2;1;1;1;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;1;1;0;1;1;1;1;1;1;1;0;0;0;0;2;2;2;2;6,2399998;CENTRO
396004400039600;02;6;1;2;2;5;5;55;0;1;0;0;0;0;0;0;0;5;2;2;3;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;3;2;3;3;1;2;1;1;1;-9;-9;-9;1;-9;4;1;3;2;2;2;2;2;2;-9;4;3;3;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;0;1;1;1;0;1;0;1;0;1;1;-9;2;2;3;1;1;1;1;1;1;1;1;0;0;0;2;-9;2;2;1;1;2;2;1;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;6,2399998;CENTRO
296250015902729;02;6;1;2;2;5;5;55;0;1;1;0;0;0;0;0;0;5;2;-9;2;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;-9;3;2;1;2;1;1;2;2;2;-9;-9;-9;3;1;3;2;1;2;2;2;2;2;5;2;2;2;2;3;2;2;2;3;4;1;2;2;1;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;0;0;0;1;1;1;0;0;1;3;2;2;1;1;1;2;2;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;2;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;1;2;6,2399998;CENTRO
526500780395265;02;6;1;2;2;5;7;57;0;1;1;0;0;0;0;0;0;5;1;1;2;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;3;1;2;1;3;1;1;1;-9;-9;-9;-9;-9;2;1;3;2;2;2;2;2;2;2;5;3;4;4;3;3;2;3;3;3;3;1;1;1;1;1;1;1;1;1;-9;10;0;0;0;1;0;0;1;1;1;1;1;2;1;0;1;0;0;1;1;0;1;1;0;2;-9;2;2;1;1;2;2;1;2;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;1;0;2;3;2;2;6,2399998;CENTRO
547770018739554;02;6;1;2;2;5;9;59;0;1;0;0;1;0;0;0;0;5;2;2;3;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;1;3;3;1;4;1;1;1;1;2;2;1;1;3;1;3;2;2;2;2;2;2;2;3;3;3;2;1;3;1;1;1;1;1;1;2;3;3;2;-9;1;1;0;1;1;0;1;0;0;0;0;3;1;-9;1;1;2;1;1;1;0;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;1;2;2;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;6,2399998;CENTRO
179520013681617;02;6;1;2;2;5;9;59;0;1;0;0;0;0;0;0;1;5;5;5;3;2;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;3;4;2;4;1;1;1;-9;-9;-9;1;-9;2;1;1;2;-9;2;1;2;2;2;5;2;4;3;1;2;2;2;3;4;3;1;3;3;3;3;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;0;0;1;1;0;1;0;0;0;0;2;-9;2;2;3;3;3;1;1;3;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;2;1;1;0;1;1;1;1;0;0;1;0;0;0;1;1;2;1;1;6,2399998;CENTRO
473570014242647;02;6;1;2;1;6;0;60;0;1;0;1;0;0;0;0;0;5;-9;-9;3;2;2;-9;-9;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;2;4;5;1;1;1;1;1;-9;2;2;1;1;3;1;3;1;2;3;3;3;3;3;4;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;1;1;1;1;1;0;2;-9;2;2;1;1;1;2;2;2;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;2;2;2;6,2399998;CENTRO
209450011817720;02;6;2;2;2;6;2;62;0;1;0;1;1;0;1;0;0;5;4;1;4;2;2;2;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;4;4;1;4;1;1;2;2;2;2;2;1;3;1;1;3;2;2;2;2;2;1;5;2;2;2;1;2;1;1;1;2;1;1;1;1;2;1;2;2;1;0;4;4;1;0;1;0;1;0;3;1;1;1;1;2;1;1;1;1;0;1;1;1;1;1;0;2;-9;1;-9;3;1;1;2;2;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;5,875;CENTRO
309120029308830;06;6;1;2;2;3;9;39;1;1;0;0;1;0;0;0;1;3;1;1;3;1;1;2;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;3;2;3;-9;1;-9;1;1;1;-9;-9;1;1;1;3;1;4;2;2;3;3;3;3;1;3;2;2;3;1;3;1;1;4;2;2;2;-9;-9;-9;-9;2;2;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;0;0;0;1;1;1;1;0;0;0;2;-9;2;2;1;2;2;1;1;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;14,056892;CENTRO
141210016294514;06;6;2;2;2;4;1;41;1;1;0;0;1;0;0;0;0;4;2;1;4;1;-9;1;-9;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;2;3;4;1;5;1;1;1;-9;-9;-9;1;1;2;1;3;3;3;2;2;1;2;1;4;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;1;1;1;1;1;0;2;-9;1;1;1;1;1;1;1;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;-9;1;-9;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;8,5074387;CENTRO
548370048972654;06;6;2;2;2;4;1;41;0;1;0;0;0;0;0;0;0;4;2;1;4;1;1;2;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;3;5;1;5;1;1;1;-9;-9;-9;-9;-9;2;1;3;2;2;2;2;2;2;2;3;1;1;1;1;1;1;1;2;1;1;1;1;2;3;2;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;0;0;1;1;1;0;0;2;-9;2;2;2;1;1;1;1;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;2;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;5,5381861;CENTRO
231570051642623;06;6;2;2;2;4;4;44;0;1;0;0;0;0;0;0;0;5;3;3;4;1;2;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;3;5;1;4;1;1;1;2;2;2;2;2;1;1;3;2;2;2;2;2;2;2;5;1;3;1;1;1;1;1;1;1;1;1;2;2;3;3;2;3;1;0;-6;0;0;1;0;1;0;0;1;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;3;1;1;2;1;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-6;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;9,4461298;CENTRO
655520041133265;06;6;1;1;2;4;4;44;0;1;0;0;0;0;0;0;0;4;1;1;5;1;1;-9;-9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;-9;1;2;2;1;2;-9;1;1;2;2;2;1;1;1;1;3;2;2;3;3;3;3;3;3;4;3;4;4;3;4;4;3;4;3;1;2;2;3;2;2;2;1;0;1;1;0;0;1;0;0;0;3;3;1;1;1;3;1;1;1;1;1;1;1;1;1;0;0;2;-9;2;2;3;2;-9;3;1;2;2;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;2;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;20,197691;CENTRO
541170038417454;06;6;1;2;2;4;5;45;0;1;0;0;0;0;0;0;0;4;3;-9;3;1;-9;-9;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;-9;4;-9;1;4;1;1;1;2;2;2;1;1;1;1;4;2;2;2;2;2;2;2;3;1;1;4;1;2;1;1;3;2;1;1;1;1;2;2;1;1;1;0;6;6;0;0;0;1;0;0;1;2;1;3;1;3;1;0;0;1;0;0;0;1;0;1;0;2;-9;2;2;1;2;2;2;1;2;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;2;1;14,056892;CENTRO
136500240630136;06;6;2;2;2;4;6;46;0;1;0;1;0;1;0;0;0;5;2;1;4;1;1;2;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;2;3;2;5;1;-9;1;-9;-9;-9;1;1;1;1;3;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;1;2;2;1;3;1;2;3;3;3;2;0;0;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;1;1;1;1;1;0;2;-9;1;-9;3;1;1;2;1;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;1;-9;1;-9;0;1;1;1;1;0;1;0;1;0;1;0;2;2;2;3;5,5381861;CENTRO
665700126063665;06;6;2;2;2;4;6;46;0;1;0;0;0;0;0;0;0;5;4;1;4;1;2;2;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;3;5;2;5;2;2;1;2;2;2;1;1;2;1;3;-9;-9;-9;-9;-9;2;2;4;1;1;1;1;2;1;1;2;2;2;1;1;-9;2;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;0;1;1;0;0;0;2;-9;2;2;3;1;1;1;2;3;3;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;-9;-9;-9;0;1;1;0;0;0;0;1;0;0;0;0;2;2;2;2;5,5381861;CENTRO
696000061660069;06;6;2;2;2;4;7;47;0;1;0;0;0;0;0;0;1;5;2;2;4;2;2;2;2;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;3;5;-6;-9;1;1;1;-9;-9;-9;1;1;2;1;3;2;2;2;2;2;2;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;0;1;1;0;0;1;0;0;0;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;-9;1;1;1;1;1;1;1;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;2;8,5074387;CENTRO
336960043588833;06;6;1;2;2;4;7;47;0;1;0;0;0;0;0;0;0;5;1;4;3;2;2;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;3;-9;1;-9;1;1;1;-9;-9;-9;1;1;1;1;3;2;2;2;2;2;2;2;5;3;1;2;1;3;1;1;1;2;2;1;1;2;2;1;2;2;2;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;0;0;1;1;1;0;0;0;2;-9;2;2;1;2;1;2;3;3;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;2;1;22,60837;CENTRO
553320035374255;06;6;1;2;2;4;8;48;0;1;1;0;0;1;0;0;1;5;2;2;3;1;2;2;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;3;-9;2;3;1;1;1;1;1;1;-9;-9;-9;-9;2;1;3;2;2;2;2;1;2;1;4;3;4;3;3;3;2;3;1;3;3;1;1;-9;1;1;1;1;1;-9;5;5;0;0;1;0;1;0;3;1;1;2;1;2;1;1;1;1;1;1;1;0;1;1;0;2;-9;2;2;1;1;1;1;2;2;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;14,056892;CENTRO
